id,username,created_at,lng,lat,text
1514867776061640707,jayleen_,Fri Apr 15 07:26:37 +0000 2022,-118.2670605,34.04434327,#DateNight #OOTD #ovocirque #OVO #CirqueDuSoleil @mstheater @ Microsoft Theater https://t.co/wnPSMOHzAw
1514867782504099844,siennarpark,Fri Apr 15 07:26:38 +0000 2022,-86.2705395,45.00118,holy shit the way the made me FEEL !!!!!!!
1514867784982925312,00micki,Fri Apr 15 07:26:39 +0000 2022,-88.4001645,42.7900215,"@Numbers28 I’m sick of it and always afraid, not for me, but for my partner."
1514867786102853634,ESGenealogy,Fri Apr 15 07:26:39 +0000 2022,-74.7850875,39.832731,"Noticed some of these additional questions today on the 1950 Census 🔎I took this page from Lititz, PA. https://t.co/cW2gBLOe8e"
1514867787109392386,Dakkova,Fri Apr 15 07:26:39 +0000 2022,-76.785101,34.7344145,"@savingtwinkles 🤣 In my experience, never."
1514867790578024450,gary_CALguy,Fri Apr 15 07:26:40 +0000 2022,-118.4119065,34.0207895,God that sounds like fun!😉😊👍
1514867790976622599,uncle_ric_e,Fri Apr 15 07:26:40 +0000 2022,-82.3142295,40.8643655,"@princess_antifa Long story short, No!"
1514867791811293186,YapYapTRUMP2024,Fri Apr 15 07:26:41 +0000 2022,-88.5540415,30.3640485,@JenniferSaysHi @GovAbbott @RonDeSantisFL Don't hate them because they are trying to Right FJB'S Wrong! What's righ… https://t.co/53lixRgbOW
1514867792469757952,Derrin_CLE,Fri Apr 15 07:26:41 +0000 2022,-90.011008,29.982601,@LibraLexx Definitely a favorite city of mine! It’s amazing
1514867798639579143,DanMcCa26510433,Fri Apr 15 07:26:42 +0000 2022,-87.848561,42.711776,@TaraIsSquatter Very true.💚🏴‍☠️🤪🦎
1514867798165622784,AhearnColeen,Fri Apr 15 07:26:42 +0000 2022,-70.614284,41.680607,@RhondaTheCat Good morning Rhonda and Happy Friday my friend! https://t.co/9rfkVajRPM
1514867800304717827,dogwithastick,Fri Apr 15 07:26:43 +0000 2022,-85.7682405,37.822244,need a girl so i can send her pleasant text paragraphs at 3am
1514867800422105089,geraldthe2nd,Fri Apr 15 07:26:43 +0000 2022,-84.557899,42.712049,“Dear Heavenly Father…”
1514867800753557506,raist761,Fri Apr 15 07:26:43 +0000 2022,-111.2978705,47.493836,@JillSolvolver They were tanking Joe within days of his taking office.  It's been apparent and obvious.
1514867801122615307,511NY,Fri Apr 15 07:26:43 +0000 2022,-75.09337,39.809957,Cleared: Closure on #NJ41 Both directions at North of CR 534/Good Intent Rd
1514867804431798275,krisguy,Fri Apr 15 07:26:44 +0000 2022,-111.547029,39.499762,@randileeharper Ah. Then the annoyance is deserved. I would like to see a better way to log stuff on top of CGMs. M… https://t.co/GTDtfseCRN
